title,company,location,salary_min,salary_max,source,title_lower,title_length,level
Data Scientist,Bizzdesign,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
DATA SCIENTIST 4/11,Ministère des Armées,"Paris, Ile-de-France",,,adzuna,data scientist 4/11,19,mid
Data Scientist Senior Consultant,JAKALA,"Paris, Ile-de-France",,,adzuna,data scientist senior consultant,32,senior
Data Scientist Confirmé (H/F),Equancy | Groupe EDG,"Paris, Ile-de-France",,,adzuna,data scientist confirmé (h/f),29,mid
Data Scientist Senior H/F,OVENTI Consulting,"Paris, Ile-de-France",,,adzuna,data scientist senior h/f,25,senior
Data Scientist / AI Engineer (Agentique),MP DATA,"Paris, Ile-de-France",,,adzuna,data scientist / ai engineer (agentique),40,mid
STAGE - Data Scientist (H/F),Isea,"Paris, Ile-de-France",,,adzuna,stage - data scientist (h/f),28,mid
Data Scientist - AI Marketplace Platform,Mirakl,"Paris, Ile-de-France",,,adzuna,data scientist - ai marketplace platform,40,mid
Data Scientist,Capgemini,"1er Arrondissement, Paris",,,adzuna,data scientist,14,mid
Data scientist,Spirica,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
Data Scientist,Mistral Ai,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
Data scientist,Caisse des dépôts groupe,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
Data Scientist,Mistral AI,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
Data Scientist,Veepee,"Paris, Ile-de-France",,,adzuna,data scientist,14,mid
Data Scientist,Sonio,"Paris, Ile-de-France",45000.0,55000.0,adzuna,data scientist,14,mid
Data Scientist / GenAI | CDI | H/F,Eulidia,"Paris, Ile-de-France",,,adzuna,data scientist / genai | cdi | h/f,34,mid
Data Scientist - Solutions Front (H/F),CHOLET DUPONT OUDART,"Paris, Ile-de-France",,,adzuna,data scientist - solutions front (h/f),38,mid
Data Scientist IA – Freelance (H/F),SCC France,"Paris, Ile-de-France",,,adzuna,data scientist ia – freelance (h/f),35,mid
Data Scientist Senior | Paris | Flexible Remote,Talent-R,"Paris, Ile-de-France",,,adzuna,data scientist senior | paris | flexible remote,47,senior
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,"Paris, Ile-de-France",,,adzuna,senior data scientist nlp/genai - catalog,41,senior
Senior Independent Software Developer,A.Team,"Americas, Europe, Israel",,,remotive,senior independent software developer,37,senior
Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",,,remotive,senior independent ai engineer / architect,42,senior
Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",,,remotive,senior full-stack react developer,33,senior
"Marketing Manager, Content & AI Enablement",Expion Health,USA,,,remotive,"marketing manager, content & ai enablement",42,mid
Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",,,remotive,tech lead full-stack rails engineer,35,mid
Business Transformation Lead,Expion Health,USA,,,remotive,business transformation lead,28,mid
Office Assistant,Coalition Technologies ,Worldwide,,,remotive,office assistant,16,mid
Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,LATAM,,,remotive,director of revenue systems and ai automation (offshore) ,57,mid
iOS Developer,nooro,USA,,,remotive,ios developer,13,mid
Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,,,remotive,inside sales contractor,23,mid
Freelance Writer,IAPWE,Worldwide,,,remotive,freelance writer,16,mid
🇩🇪Customer Support Manager,Parkosecure GmbH,Switzerland,,,remotive,🇩🇪customer support manager,26,mid
Copywriter,Coalition Technologies ,Worldwide,,,remotive,copywriter,10,mid
Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Oceania",,,remotive,senior devops engineer,22,senior
Head of Engineering,Lemon.io,"USA timezones, European timezones",,,remotive,head of engineering,19,mid
Mid/Senior AI Video Artist,EverAI,Worldwide,,,remotive,mid/senior ai video artist,26,senior
Content Reviewer - US,TELUS Digital,USA,,,remotive,content reviewer - us,21,mid
AI Engineer,Dry Ground AI,"Brazil, Colombia, Philippines",,,remotive,ai engineer,11,mid
