title,company,location,salary_min,salary_max,source
Data Scientist,Bizzdesign,"Paris, Ile-de-France",,,adzuna
DATA SCIENTIST 4/11,Ministère des Armées,"Paris, Ile-de-France",,,adzuna
Data Scientist Senior Consultant,JAKALA,"Paris, Ile-de-France",,,adzuna
Data Scientist Confirmé (H/F),Equancy | Groupe EDG,"Paris, Ile-de-France",,,adzuna
Data Scientist Senior H/F,OVENTI Consulting,"Paris, Ile-de-France",,,adzuna
Data Scientist / AI Engineer (Agentique),MP DATA,"Paris, Ile-de-France",,,adzuna
STAGE - Data Scientist (H/F),Isea,"Paris, Ile-de-France",,,adzuna
Data Scientist - AI Marketplace Platform,Mirakl,"Paris, Ile-de-France",,,adzuna
Data Scientist,Capgemini,"1er Arrondissement, Paris",,,adzuna
Data scientist,Spirica,"Paris, Ile-de-France",,,adzuna
Data Scientist,Mistral Ai,"Paris, Ile-de-France",,,adzuna
Data scientist,Caisse des dépôts groupe,"Paris, Ile-de-France",,,adzuna
Data Scientist,Mistral AI,"Paris, Ile-de-France",,,adzuna
Data Scientist,Veepee,"Paris, Ile-de-France",,,adzuna
Data Scientist,Sonio,"Paris, Ile-de-France",45000.0,55000.0,adzuna
Data Scientist / GenAI | CDI | H/F,Eulidia,"Paris, Ile-de-France",,,adzuna
Data Scientist - Solutions Front (H/F),CHOLET DUPONT OUDART,"Paris, Ile-de-France",,,adzuna
Data Scientist IA – Freelance (H/F),SCC France,"Paris, Ile-de-France",,,adzuna
Data Scientist Senior | Paris | Flexible Remote,Talent-R,"Paris, Ile-de-France",,,adzuna
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,"Paris, Ile-de-France",,,adzuna
